Category: Government

Day,Geo: United States
2016-11-28,39
2016-11-29,41
2016-11-30,40
2016-12-01,40
2016-12-02,39
2016-12-03,27
2016-12-04,28
2016-12-05,38
2016-12-06,42
2016-12-07,39
2016-12-08,39
2016-12-09,37
2016-12-10,26
2016-12-11,26
2016-12-12,36
2016-12-13,40
2016-12-14,37
2016-12-15,34
2016-12-16,35
2016-12-17,26
2016-12-18,24
2016-12-19,35
2016-12-20,39
2016-12-21,34
2016-12-22,30
2016-12-23,27
2016-12-24,23
2016-12-25,22
2016-12-26,24
2016-12-27,29
2016-12-28,31
2016-12-29,31
2016-12-30,29
2016-12-31,24
2017-01-01,25
2017-01-02,28
2017-01-03,37
2017-01-04,40
2017-01-05,39
2017-01-06,39
2017-01-07,28
2017-01-08,27
2017-01-09,38
2017-01-10,43
2017-01-11,68
2017-01-12,49
2017-01-13,48
2017-01-14,33
2017-01-15,32
2017-01-16,38
2017-01-17,47
2017-01-18,50
2017-01-19,57
2017-01-20,100
2017-01-21,69
2017-01-22,47
2017-01-23,56
2017-01-24,52
2017-01-25,55
2017-01-26,55
2017-01-27,50
2017-01-28,41
2017-01-29,51
2017-01-30,60
2017-01-31,67
2017-02-01,64
2017-02-02,53
2017-02-03,49
2017-02-04,36
2017-02-05,36
2017-02-06,45
2017-02-07,53
2017-02-08,53
2017-02-09,47
2017-02-10,46
2017-02-11,33
2017-02-12,31
2017-02-13,41
2017-02-14,44
2017-02-15,47
2017-02-16,49
2017-02-17,45
2017-02-18,35
2017-02-19,29
2017-02-20,39
2017-02-21,46
2017-02-22,45
2017-02-23,42
2017-02-24,40
2017-02-25,32
2017-02-26,30
2017-02-27,42
2017-02-28,47
2017-03-01,54
2017-03-02,47
2017-03-03,43
2017-03-04,32
2017-03-05,30
2017-03-06,45
2017-03-07,45
2017-03-08,43
2017-03-09,43
2017-03-10,39
2017-03-11,27
2017-03-12,26
2017-03-13,38
2017-03-14,38
2017-03-15,39
2017-03-16,40
2017-03-17,38
2017-03-18,27
2017-03-19,26
2017-03-20,42
2017-03-21,42
2017-03-22,42
2017-03-23,43
2017-03-24,46
2017-03-25,29
2017-03-26,26
2017-03-27,38
2017-03-28,38
2017-03-29,40
2017-03-30,39
2017-03-31,38
2017-04-01,26
2017-04-02,25
2017-04-03,40
2017-04-04,43
2017-04-05,41
2017-04-06,43
2017-04-07,42
2017-04-08,28
2017-04-09,26
2017-04-10,39
2017-04-11,40
2017-04-12,39
2017-04-13,40
2017-04-14,36
2017-04-15,28
2017-04-16,26
2017-04-17,39
2017-04-18,42
2017-04-19,43
2017-04-20,40
2017-04-21,36
2017-04-22,25
2017-04-23,25
2017-04-24,39
2017-04-25,39
2017-04-26,39
2017-04-27,37
2017-04-28,36
2017-04-29,25
2017-04-30,28
2017-05-01,44
2017-05-02,41
2017-05-03,40
2017-05-04,50
