Day,Geo: Australia
2016-11-28,72
2016-11-29,69
2016-11-30,68
2016-12-01,76
2016-12-02,72
2016-12-03,80
2016-12-04,78
2016-12-05,72
2016-12-06,74
2016-12-07,74
2016-12-08,76
2016-12-09,74
2016-12-10,79
2016-12-11,73
2016-12-12,75
2016-12-13,72
2016-12-14,75
2016-12-15,74
2016-12-16,77
2016-12-17,83
2016-12-18,83
2016-12-19,76
2016-12-20,77
2016-12-21,74
2016-12-22,72
2016-12-23,72
2016-12-24,82
2016-12-25,80
2016-12-26,92
2016-12-27,83
2016-12-28,84
2016-12-29,85
2016-12-30,81
2016-12-31,82
2017-01-01,100
2017-01-02,85
2017-01-03,75
2017-01-04,75
2017-01-05,76
2017-01-06,78
2017-01-07,84
2017-01-08,81
2017-01-09,78
2017-01-10,72
2017-01-11,73
2017-01-12,77
2017-01-13,81
2017-01-14,82
2017-01-15,83
2017-01-16,74
2017-01-17,72
2017-01-18,74
2017-01-19,74
2017-01-20,76
2017-01-21,83
2017-01-22,76
2017-01-23,73
2017-01-24,71
2017-01-25,74
2017-01-26,81
2017-01-27,76
2017-01-28,86
2017-01-29,82
2017-01-30,73
2017-01-31,75
2017-02-01,71
2017-02-02,75
2017-02-03,76
2017-02-04,87
2017-02-05,86
2017-02-06,71
2017-02-07,72
2017-02-08,72
2017-02-09,72
2017-02-10,78
2017-02-11,93
2017-02-12,87
2017-02-13,73
2017-02-14,71
2017-02-15,71
2017-02-16,72
2017-02-17,76
2017-02-18,88
2017-02-19,86
2017-02-20,70
2017-02-21,72
2017-02-22,70
2017-02-23,72
2017-02-24,75
2017-02-25,90
2017-02-26,91
2017-02-27,94
2017-02-28,78
2017-03-01,77
2017-03-02,78
2017-03-03,80
2017-03-04,91
2017-03-05,88
2017-03-06,73
2017-03-07,75
2017-03-08,76
2017-03-09,76
2017-03-10,79
2017-03-11,87
2017-03-12,86
2017-03-13,79
2017-03-14,75
2017-03-15,75
2017-03-16,79
2017-03-17,81
2017-03-18,90
2017-03-19,89
2017-03-20,80
2017-03-21,78
2017-03-22,79
2017-03-23,79
2017-03-24,80
2017-03-25,85
2017-03-26,88
2017-03-27,76
2017-03-28,75
2017-03-29,79
2017-03-30,78
2017-03-31,77
2017-04-01,89
2017-04-02,86
2017-04-03,75
2017-04-04,78
2017-04-05,76
2017-04-06,81
2017-04-07,78
2017-04-08,85
2017-04-09,89
2017-04-10,84
2017-04-11,77
2017-04-12,77
2017-04-13,75
2017-04-14,89
2017-04-15,87
2017-04-16,88
2017-04-17,81
2017-04-18,75
2017-04-19,74
2017-04-20,76
2017-04-21,80
2017-04-22,85
2017-04-23,87
2017-04-24,80
2017-04-25,78
2017-04-26,70
2017-04-27,75
2017-04-28,78
2017-04-29,85
2017-04-30,90
2017-05-01,84
2017-05-02,77
2017-05-03,77
2017-05-04,78
