Day,Geo: Canada
2016-11-28,75
2016-11-29,74
2016-11-30,73
2016-12-01,79
2016-12-02,77
2016-12-03,82
2016-12-04,84
2016-12-05,71
2016-12-06,75
2016-12-07,72
2016-12-08,75
2016-12-09,77
2016-12-10,84
2016-12-11,82
2016-12-12,76
2016-12-13,73
2016-12-14,78
2016-12-15,74
2016-12-16,80
2016-12-17,85
2016-12-18,86
2016-12-19,79
2016-12-20,77
2016-12-21,77
2016-12-22,74
2016-12-23,76
2016-12-24,86
2016-12-25,89
2016-12-26,91
2016-12-27,87
2016-12-28,84
2016-12-29,88
2016-12-30,85
2016-12-31,90
2017-01-01,100
2017-01-02,84
2017-01-03,81
2017-01-04,78
2017-01-05,76
2017-01-06,79
2017-01-07,86
2017-01-08,93
2017-01-09,83
2017-01-10,77
2017-01-11,73
2017-01-12,76
2017-01-13,79
2017-01-14,88
2017-01-15,86
2017-01-16,77
2017-01-17,77
2017-01-18,74
2017-01-19,76
2017-01-20,84
2017-01-21,89
2017-01-22,88
2017-01-23,77
2017-01-24,80
2017-01-25,75
2017-01-26,76
2017-01-27,83
2017-01-28,89
2017-01-29,89
2017-01-30,76
2017-01-31,77
2017-02-01,80
2017-02-02,74
2017-02-03,77
2017-02-04,87
2017-02-05,89
2017-02-06,82
2017-02-07,73
2017-02-08,74
2017-02-09,73
2017-02-10,77
2017-02-11,87
2017-02-12,91
2017-02-13,88
2017-02-14,76
2017-02-15,70
2017-02-16,75
2017-02-17,74
2017-02-18,84
2017-02-19,87
2017-02-20,81
2017-02-21,74
2017-02-22,71
2017-02-23,72
2017-02-24,78
2017-02-25,87
2017-02-26,97
2017-02-27,96
2017-02-28,81
2017-03-01,77
2017-03-02,79
2017-03-03,80
2017-03-04,87
2017-03-05,87
2017-03-06,74
2017-03-07,81
2017-03-08,77
2017-03-09,75
2017-03-10,77
2017-03-11,85
2017-03-12,88
2017-03-13,79
2017-03-14,75
2017-03-15,76
2017-03-16,77
2017-03-17,80
2017-03-18,86
2017-03-19,83
2017-03-20,79
2017-03-21,77
2017-03-22,73
2017-03-23,74
2017-03-24,82
2017-03-25,88
2017-03-26,89
2017-03-27,77
2017-03-28,78
2017-03-29,75
2017-03-30,76
2017-03-31,78
2017-04-01,89
2017-04-02,89
2017-04-03,77
2017-04-04,77
2017-04-05,75
2017-04-06,77
2017-04-07,81
2017-04-08,84
2017-04-09,86
2017-04-10,74
2017-04-11,73
2017-04-12,74
2017-04-13,73
2017-04-14,85
2017-04-15,84
2017-04-16,89
2017-04-17,78
2017-04-18,72
2017-04-19,68
2017-04-20,71
2017-04-21,76
2017-04-22,81
2017-04-23,84
2017-04-24,72
2017-04-25,75
2017-04-26,68
2017-04-27,69
2017-04-28,74
2017-04-29,79
2017-04-30,86
2017-05-01,81
2017-05-02,75
2017-05-03,71
2017-05-04,71
