Day,Geo: United States
2016-11-28,76
2016-11-29,72
2016-11-30,70
2016-12-01,74
2016-12-02,78
2016-12-03,80
2016-12-04,80
2016-12-05,72
2016-12-06,72
2016-12-07,72
2016-12-08,78
2016-12-09,79
2016-12-10,80
2016-12-11,81
2016-12-12,75
2016-12-13,73
2016-12-14,77
2016-12-15,77
2016-12-16,78
2016-12-17,83
2016-12-18,80
2016-12-19,76
2016-12-20,78
2016-12-21,74
2016-12-22,74
2016-12-23,76
2016-12-24,84
2016-12-25,88
2016-12-26,88
2016-12-27,88
2016-12-28,82
2016-12-29,90
2016-12-30,81
2016-12-31,89
2017-01-01,100
2017-01-02,84
2017-01-03,78
2017-01-04,75
2017-01-05,73
2017-01-06,76
2017-01-07,84
2017-01-08,82
2017-01-09,81
2017-01-10,69
2017-01-11,74
2017-01-12,72
2017-01-13,76
2017-01-14,76
2017-01-15,83
2017-01-16,74
2017-01-17,71
2017-01-18,70
2017-01-19,75
2017-01-20,80
2017-01-21,90
2017-01-22,84
2017-01-23,71
2017-01-24,74
2017-01-25,74
2017-01-26,75
2017-01-27,81
2017-01-28,85
2017-01-29,84
2017-01-30,73
2017-01-31,69
2017-02-01,70
2017-02-02,74
2017-02-03,74
2017-02-04,81
2017-02-05,81
2017-02-06,77
2017-02-07,69
2017-02-08,74
2017-02-09,71
2017-02-10,79
2017-02-11,79
2017-02-12,82
2017-02-13,85
2017-02-14,69
2017-02-15,72
2017-02-16,71
2017-02-17,75
2017-02-18,79
2017-02-19,80
2017-02-20,74
2017-02-21,72
2017-02-22,69
2017-02-23,71
2017-02-24,73
2017-02-25,80
2017-02-26,92
2017-02-27,93
2017-02-28,76
2017-03-01,74
2017-03-02,74
2017-03-03,77
2017-03-04,83
2017-03-05,82
2017-03-06,74
2017-03-07,74
2017-03-08,71
2017-03-09,73
2017-03-10,76
2017-03-11,82
2017-03-12,81
2017-03-13,73
2017-03-14,75
2017-03-15,72
2017-03-16,73
2017-03-17,77
2017-03-18,85
2017-03-19,82
2017-03-20,72
2017-03-21,72
2017-03-22,71
2017-03-23,72
2017-03-24,80
2017-03-25,88
2017-03-26,83
2017-03-27,73
2017-03-28,73
2017-03-29,73
2017-03-30,72
2017-03-31,80
2017-04-01,82
2017-04-02,80
2017-04-03,72
2017-04-04,67
2017-04-05,71
