Day,Geo: Australia
2016-11-28,70
2016-11-29,65
2016-11-30,67
2016-12-01,63
2016-12-02,58
2016-12-03,61
2016-12-04,64
2016-12-05,75
2016-12-06,68
2016-12-07,66
2016-12-08,65
2016-12-09,55
2016-12-10,55
2016-12-11,60
2016-12-12,69
2016-12-13,67
2016-12-14,65
2016-12-15,60
2016-12-16,57
2016-12-17,55
2016-12-18,67
2016-12-19,63
2016-12-20,62
2016-12-21,61
2016-12-22,60
2016-12-23,51
2016-12-24,47
2016-12-25,48
2016-12-26,62
2016-12-27,64
2016-12-28,69
2016-12-29,68
2016-12-30,63
2016-12-31,52
2017-01-01,79
2017-01-02,91
2017-01-03,92
2017-01-04,85
2017-01-05,83
2017-01-06,72
2017-01-07,78
2017-01-08,84
2017-01-09,100
2017-01-10,90
2017-01-11,84
2017-01-12,85
2017-01-13,75
2017-01-14,67
2017-01-15,77
2017-01-16,95
2017-01-17,84
2017-01-18,85
2017-01-19,81
2017-01-20,67
2017-01-21,66
2017-01-22,68
2017-01-23,89
2017-01-24,82
2017-01-25,68
2017-01-26,57
2017-01-27,65
2017-01-28,78
2017-01-29,85
2017-01-30,90
2017-01-31,85
2017-02-01,85
2017-02-02,78
2017-02-03,69
2017-02-04,71
2017-02-05,78
2017-02-06,86
2017-02-07,82
2017-02-08,80
2017-02-09,75
2017-02-10,63
2017-02-11,65
2017-02-12,78
2017-02-13,79
2017-02-14,73
2017-02-15,78
2017-02-16,78
2017-02-17,65
2017-02-18,67
2017-02-19,76
2017-02-20,84
2017-02-21,85
2017-02-22,82
2017-02-23,82
2017-02-24,79
2017-02-25,68
2017-02-26,83
2017-02-27,95
2017-02-28,94
2017-03-01,87
2017-03-02,74
2017-03-03,72
2017-03-04,63
2017-03-05,79
2017-03-06,87
2017-03-07,84
2017-03-08,83
2017-03-09,81
2017-03-10,72
2017-03-11,64
2017-03-12,77
2017-03-13,91
2017-03-14,91
2017-03-15,82
2017-03-16,81
2017-03-17,74
2017-03-18,70
2017-03-19,88
2017-03-20,97
2017-03-21,85
2017-03-22,83
2017-03-23,74
2017-03-24,70
2017-03-25,66
2017-03-26,76
2017-03-27,91
2017-03-28,85
2017-03-29,82
2017-03-30,71
2017-03-31,60
2017-04-01,62
2017-04-02,73
2017-04-03,76
2017-04-04,77
2017-04-05,74
2017-04-06,67
2017-04-07,59
2017-04-08,61
2017-04-09,68
2017-04-10,78
2017-04-11,70
2017-04-12,67
2017-04-13,62
2017-04-14,63
2017-04-15,57
2017-04-16,63
2017-04-17,68
2017-04-18,77
2017-04-19,78
2017-04-20,70
2017-04-21,67
2017-04-22,64
2017-04-23,72
2017-04-24,79
2017-04-25,71
2017-04-26,75
2017-04-27,70
2017-04-28,63
2017-04-29,65
2017-04-30,78
2017-05-01,94
2017-05-02,79
2017-05-03,72
2017-05-04,71
